FrameId	Locus	GeneSymbol	ProductName	GenbankAccession.version	Entrez	UniprotAccession	UniprotName
G18UU-22582-MONOMER	PP_5061	betT-I	Choline transporter	AAN70626.1	24986843	Q88CW9	Q88CW9_PSEPK
G18UU-22553-MONOMER	PP_5031	proY	proline (histidine) APC transporter	AAN70596.1	24986809	Q88CZ8	Q88CZ8_PSEPK
G18UU-22546-MONOMER	PP_5024	PP_5024	Amino acid ABC transporter, periplasmic amino acid-binding protein	AAN70589.1	24986801	Q88D05	Q88D05_PSEPK
G18UU-22545-MONOMER	PP_5023	PP_5023	Amino acid ABC transporter, permease protein	AAN70588.1	24986800	Q88D06	Q88D06_PSEPK
G18UU-22544-MONOMER	PP_5022	glnQ	Glutamine transport ATP-binding protein GlnQ	AAN70587.1	24986799	Q88D07	Q88D07_PSEPK
G18UU-22538-MONOMER	PP_5016	tatA-II	twin arginine protein export complex subunit	AAN70581.1	24986793	Q88D13	Q88D13_PSEPK
G18UU-22466-MONOMER	PP_4946	putP	sodium/L-proline transporter	AAN70513.2	1001556044	Q88D81	Q88D81_PSEPK
G18UU-22455-MONOMER	PP_4935	msbA	Lipid A export ATP-binding/permease protein MsbA	AAN70502.1	24986705	Q88D92	MSBA_PSEPK
G18UU-22440-MONOMER	PP_4921	PP_4921	Transporter, NCS1 nucleoside transporter family	AAN70488.1	24986689	Q88DA6	Q88DA6_PSEPK
G18UU-22402-MONOMER	PP_4882	PP_4882	Iron ABC transporter, permease protein	AAN70450.1	24986647	Q88DE4	Q88DE4_PSEPK
G18UU-22401-MONOMER	PP_4881	PP_4881	putative Iron ABC transporter, periplasmic iron-binding protein	AAN70449.1	24986646	Q88DE5	Q88DE5_PSEPK
G18UU-22386-MONOMER	PP_4867	PP_4867	branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein (braC-like)	AAN70436.1	24986632	Q88DF8	Q88DF8_PSEPK
G18UU-22385-MONOMER	PP_4866	braD	High-affinity branched-chain amino acid transport system permease protein BraD	AAN70435.1	24986630	Q88DF9	Q88DF9_PSEPK
G18UU-22384-MONOMER	PP_4865	braE	High-affinity branched-chain amino acid transport system permease protein BraE	AAN70434.1	24986629	Q88DG0	Q88DG0_PSEPK
G18UU-22383-MONOMER	PP_4864	braF	High-affinity branched-chain amino acid transport ATP-binding protein BraF	AAN70433.1	24986628	Q88DG1	Q88DG1_PSEPK
G18UU-22382-MONOMER	PP_4863	livF-II	high-affinity branched-chain amino acid transporter, ATP-binding	AAN70432.1	24986627	Q88DG2	Q88DG2_PSEPK
G18UU-22364-MONOMER	PP_4845	urtE	putative Urea ABC transporter, ATP-binding protein	AAN70414.1	24986608	Q88DI0	Q88DI0_PSEPK
G18UU-22363-MONOMER	PP_4844	urtD	putative Urea ABC transporter, ATP-binding protein	AAN70413.1	24986607	Q88DI1	Q88DI1_PSEPK
G18UU-22362-MONOMER	PP_4843	urtC	putative Urea ABC transporter, permease protein	AAN70412.1	24986606	Q88DI2	Q88DI2_PSEPK
G18UU-22361-MONOMER	PP_4842	urtB	putative Urea ABC transporter	AAN70411.2	1001556039	Q88DI3	Q88DI3_PSEPK
G18UU-22360-MONOMER	PP_4841	urtA	putative Urea ABC transporter, periplasmic protein	AAN70410.1	24986604	Q88DI4	Q88DI4_PSEPK
G18UU-22305-MONOMER	PP_4789	corC	heat shock protein, Co2+ and Mg2+ efflux protein	AAN70358.1	24986546	Q88DN5	Q88DN5_PSEPK
G18UU-22289-MONOMER	PP_4774	fieF	divalent cation efflux transporter	AAN70344.1	24986531	Q88DP9	Q88DP9_PSEPK
G18UU-22281-MONOMER	PP_4767	yedA	amino acid exporter for phenylalanine, threonine	AAN70337.1	24986523	Q88DQ6	Q88DQ6_PSEPK
G18UU-22269-MONOMER	PP_4756	gabP-V	gamma-aminobutyrate permease	AAN70326.1	24986511	Q88DR7	Q88DR7_PSEPK
G18UU-22264-MONOMER	PP_4751	PP_4751	Amino acid ABC transporter, ATP-binding protein	AAN70321.1	24986505	Q88DS2	Q88DS2_PSEPK
G18UU-22263-MONOMER	PP_4750	PP_4750	Amino acid ABC transporter, permease protein	AAN70320.1	24986504	Q88DS3	Q88DS3_PSEPK
G18UU-22262-MONOMER	PP_4749	PP_4749	Amino acid ABC transporter, permease protein	AAN70319.1	24986503	Q88DS4	Q88DS4_PSEPK
G18UU-22261-MONOMER	PP_4748	PP_4748	Amino acid ABC transporter, periplasmic amino acid-binding protein	AAN70318.1	24986502	Q88DS5	Q88DS5_PSEPK
G18UU-22244-MONOMER	PP_4735	lldP	L-lactate permease	AAN70307.1	24986489	Q88DT4	Q88DT4_PSEPK
G18UU-22189-MONOMER	PP_4689	PP_4689	Heme/hemin ABC transporter, periplasmic heme/hemin-binding protein	AAN70262.1	24986439	Q88DX9	Q88DX9_PSEPK
G18UU-22188-MONOMER	PP_4688	PP_4688	Heme/hemin ABC transporter, permease protein	AAN70261.1	24986438	Q88DY0	Q88DY0_PSEPK
G18UU-22187-MONOMER	PP_4687	hmuV	Hemin import ATP-binding protein HmuV	AAN70260.1	24986437	Q88DY1	HMUV_PSEPK
G18UU-22137-MONOMER	PP_4643	PP_4643	Xanthine/uracil permease family protein	AAN70216.1	24986388	Q88E25	Q88E25_PSEPK
G18UU-22100-MONOMER	PP_5699	PP_5699	putative iron uptake protein	AMM03034.1	1001556011	A0A140FWQ1	A0A140FWQ1_PSEPK
G18UU-21981-MONOMER	PP_4495	aroP-II	aromatic amino acid transport protein	AAN70070.1	24986227	Q88EG8	Q88EG8_PSEPK
G18UU-21978-MONOMER	PP_4492	yhhS	carbohydrate efflux transporter	AAN70067.1	24986224	Q88EH1	Q88EH1_PSEPK
G18UU-21950-MONOMER	PP_4471	mgtE	Magnesium transporter	AAN70046.1	24986200	Q88EJ1	Q88EJ1_PSEPK
G18UU-21926-MONOMER	PP_4455	gsiC	glutathione ABC transporter permease subunit	AAN70030.1	24986182	Q88EK7	Q88EK7_PSEPK
G18UU-21924-MONOMER	PP_4453	gsiA	glutathione ABC transporter ATP-binding subunit	AAN70028.1	24986180	Q88EK9	Q88EK9_PSEPK
G18UU-21898-MONOMER	PP_4433	PP_4433	Amino acid MFS transporter	AAN70010.1	24986160	Q88EM1	Q88EM1_PSEPK
G18UU-21893-MONOMER	PP_4428	PP_4428	Amino acid ABC transporter, periplasmic amino acid-binding protein	AAN70005.1	24986155	Q88EM6	Q88EM6_PSEPK
G18UU-21892-MONOMER	PP_4427	PP_4427	Amino acid ABC transporter, permease protein	AAN70004.1	24986153	Q88EM7	Q88EM7_PSEPK
G18UU-21891-MONOMER	PP_4426	PP_4426	Amino acid ABC transporter, permease protein	AAN70003.1	24986152	Q88EM8	Q88EM8_PSEPK
G18UU-21890-MONOMER	PP_4425	PP_4425	putative amino-acid ABC transporter ATP-binding protein y4tH	AAN70002.1	24986151	Q88EM9	Q88EM9_PSEPK
G18UU-21870-MONOMER	PP_4407	PP_4407	putative Gamma-aminobutyrate transporter	AAN69985.1	24986132	Q88EP6	Q88EP6_PSEPK
G18UU-21789-MONOMER	PP_4324	ccmD	Heme exporter protein D	AAN69903.1	24986043	Q88EX8	Q88EX8_PSEPK
G18UU-21773-MONOMER	PP_4309	PP_4309	Transporter, NCS1 nucleoside transporter family	AAN69889.1	24986028	Q88EZ1	Q88EZ1_PSEPK
G18UU-21768-MONOMER	PP_4304	PP_4304	Cation transporter, VIC family	AAN69884.1	24986022	Q88EZ6	Q88EZ6_PSEPK
G18UU-21766-MONOMER	PP_4302	PP_4302	Urea transporter	AAN69882.2	1001555973	Q88EZ8	Q88EZ8_PSEPK
G18UU-21755-MONOMER	PP_4290	uacT	uric acid permease	AAN69870.1	24986007	Q88F10	Q88F10_PSEPK
G18UU-21721-MONOMER	PP_4261	PP_4261	cation-transporting P-type ATPase	AAN69841.2	1001555970	Q88F38	Q88F38_PSEPK
G18UU-21672-MONOMER	PP_4216	pvdE	pyoverdine ABC export system, fused ATPase and permease components	AAN69797.1	24985924	Q88F82	Q88F82_PSEPK
G18UU-21667-MONOMER	PP_4211	ompQ	outer membrane pyoverdine efflux protein	AAN69792.1	24985918	Q88F87	Q88F87_PSEPK
G18UU-21666-MONOMER	PP_4210	pvdT	pyoverdine efflux carrier and ATP binding protein	AAN69791.1	24985917	Q88F88	MACB_PSEPK
G18UU-21638-MONOMER	PP_4184	brnQ	branched chain amino acid transporter	AAN69765.1	24985888	Q88FB4	Q88FB4_PSEPK
G18UU-21616-MONOMER	PP_5660	kdpF	potassium-transporting ATPase F	AMM02995.1	1001555960	A0A140FWL2	A0A140FWL2_PSEPK
G18UU-21567-MONOMER	PP_4112	PP_4112	Sulphate transporter	AMM02991.1	1001555955	A0A140FWK8	A0A140FWK8_PSEPK
G18UU-21561-MONOMER	PP_4106	gabP-IV	gamma-aminobutyrate permease	AAN69690.1	24985805	Q88FI9	Q88FI9_PSEPK
G18UU-21558-MONOMER	PP_4103	PP_4103	Low-affinity inorganic phosphate transporter	AAN69687.1	24985802	Q88FJ2	Q88FJ2_PSEPK
G18UU-21495-MONOMER	PP_4035	pydP	putative PydP transporter, NCS1 nucleoside transporter family	AAN69627.1	24985734	Q88FQ2	Q88FQ2_PSEPK
G18UU-21464-MONOMER	PP_4001	crcB	Putative fluoride ion transporter CrcB	AAN69595.1	24985699	Q88FT1	CRCB_PSEPK
G18UU-21422-MONOMER	PP_3959	PP_3959	Voltage-gated chloride channel family protein	AAN69553.1	24985653	Q88FW8	Q88FW8_PSEPK
G18UU-21420-MONOMER	PP_3957	betT-III	choline/carnitine/betaine transporter BetTC	AAN69551.1	24985650	Q88FX0	Q88FX0_PSEPK
G18UU-21285-MONOMER	PP_3829	modB	Molybdenum transport system permease protein ModB	AAN69423.1	24985512	Q88G96	Q88G96_PSEPK
G18UU-21273-MONOMER	PP_3817	PP_3817	Polyamine ABC transporter, ATP-binding protein	AAN69411.1	24985499	Q88GA7	Q88GA7_PSEPK
G18UU-21272-MONOMER	PP_3816	PP_3816	Polyamine ABC transporter, permease protein	AAN69410.1	24985498	Q88GA8	Q88GA8_PSEPK
G18UU-21271-MONOMER	PP_3815	PP_3815	Polyamine ABC transporter, permease protein	AAN69409.1	24985497	Q88GA9	Q88GA9_PSEPK
G18UU-21270-MONOMER	PP_3814	PP_3814	Polyamine ABC transporter, periplasmic polyamine-binding protein	AAN69408.1	24985496	Q88GB0	Q88GB0_PSEPK
G18UU-21259-MONOMER	PP_3803	PP_3803	putative Cation ABC transporter, permease protein	AAN69397.1	24985484	Q88GC1	Q88GC1_PSEPK
G18UU-21258-MONOMER	PP_3802	PP_3802	putative Cation ABC transporter, ATP-binding protein	AAN69396.1	24985483	Q88GC2	Q88GC2_PSEPK
G18UU-21257-MONOMER	PP_3801	PP_3801	putative Cation ABC transporter, periplasmic cation-binding protein	AAN69395.1	24985482	Q88GC3	Q88GC3_PSEPK
G18UU-21204-MONOMER	PP_3751	PP_3751	putative Cyanate transporter	AAN69346.1	24985429	Q88GH2	Q88GH2_PSEPK
G18UU-21180-MONOMER	PP_3727	rocE	Amino-acid permease RocE	AAN69323.1	24985403	Q88GJ5	Q88GJ5_PSEPK
G18UU-21099-MONOMER	PP_3658	PP_3658	putative Aromatic compound MFS transporter	AAN69258.1	24985329	Q88GR0	Q88GR0_PSEPK
G18UU-21078-MONOMER	PP_3637	PP_3637	putative Sulfonate ABC transporter, ATP-binding protein	AAN69237.1	24985306	Q88GT1	Q88GT1_PSEPK
G18UU-21077-MONOMER	PP_3636	PP_3636	putative Sulfonate ABC transporter, periplasmic sulfonate-binding protein	AAN69236.1	24985305	Q88GT2	Q88GT2_PSEPK
G18UU-21076-MONOMER	PP_3635	PP_3635	putative Sulfonate ABC transporter, permease protein	AAN69235.1	24985304	Q88GT3	Q88GT3_PSEPK
G18UU-21069-MONOMER	PP_3628	PP_3628	Choline/carnitine/betaine transporter family protein	AAN69228.1	24985296	Q88GT9	Q88GT9_PSEPK
G18UU-21040-MONOMER	PP_3600	gudP	glucarate transporter	AAN69200.1	24985265	Q88GW7	Q88GW7_PSEPK
G18UU-21037-MONOMER	PP_3597	PP_3597	Amino-acid ABC transporter, ATP-binding protein	AAN69197.1	24985262	Q88GX0	Q88GX0_PSEPK
G18UU-21035-MONOMER	PP_3595	PP_3595	Amino acid ABC transporter, membrane protein	AAN69195.1	24985260	Q88GX2	Q88GX2_PSEPK
G18UU-21034-MONOMER	PP_3594	PP_3594	Amino acid ABC transporter, membrane protein	AAN69194.1	24985259	Q88GX3	Q88GX3_PSEPK
G18UU-21033-MONOMER	PP_3593	PP_3593	Amino acid ABC transporter, periplasmic binding protein	AAN69193.1	24985257	Q88GX4	Q88GX4_PSEPK
G18UU-21029-MONOMER	PP_3589	sdaC	serine:H+ symport permease, threonine-insensitive	AAN69189.1	24985253	Q88GX8	Q88GX8_PSEPK
G18UU-20999-MONOMER	PP_3559	PP_3559	glycine betaine ABC transporter (permease)	AAN69160.2	1001555879	Q88H06	Q88H06_PSEPK
G18UU-20998-MONOMER	PP_3558	PP_3558	putative Amino acid transporter, periplasmic amino acid-binding protein	AAN69159.1	24985220	Q88H07	Q88H07_PSEPK
G18UU-20853-MONOMER	PP_3417	gntT	D-gluconate transporter	AAN69019.1	24985064	Q88HE3	Q88HE3_PSEPK
G18UU-20844-MONOMER	PP_3408	cbtA	cobalt transporter subunit A	AMM02935.1	1001555864	A0A140FWF2	A0A140FWF2_PSEPK
G18UU-20825-MONOMER	PP_3391	PP_3391	putative Tartrate MFS transporter	AAN68995.1	24985037	Q88HG7	Q88HG7_PSEPK
G18UU-20784-MONOMER	PP_3349	mhpT	3-hydroxyphenylpropionate / 3-hydroxycinnamate:H+ symporter	AAN68953.1	24984990	Q88HK7	Q88HK7_PSEPK
G18UU-20746-MONOMER	PP_3311	kefB-II	glutathione-regulated potassium/H+ antiporter	AAN68918.1	24984952	Q88HP2	Q88HP2_PSEPK
G18UU-20706-MONOMER	PP_3272	actP-III	acetate permease	AAN68879.1	24984909	Q88HT1	Q88HT1_PSEPK
G18UU-20676-MONOMER	PP_3247	PP_3247	Transporter, bile acid/Na+ symporter family	AAN68854.1	24984882	Q88HV6	Q88HV6_PSEPK
G18UU-20673-MONOMER	PP_3244	mgtC	Magnesium transporter, MgtC family	AAN68851.1	24984879	Q88HV9	Q88HV9_PSEPK
G18UU-20614-MONOMER	PP_3187	codB	Cytosine transporter	AAN68795.1	24984818	Q88I15	Q88I15_PSEPK
G18UU-20593-MONOMER	PP_3167	benE-II	benzoate transport protein	AAN68775.1	24984795	Q88I34	Q88I34_PSEPK
G18UU-20591-MONOMER	PP_3165	benK	benzoate MFS transporter	AAN68773.1	24984793	Q88I36	Q88I36_PSEPK
G18UU-20556-MONOMER	PP_3132	PP_3132	putative Polysaccharide transporter	AAN68740.1	24984757	Q88I69	Q88I69_PSEPK
G18UU-20552-MONOMER	PP_3128	PP_3128	putative Exopolysaccharide biosynthesis/transport protein	AAN68736.1	24984752	Q88I73	Q88I73_PSEPK
G18UU-20551-MONOMER	PP_3127	PP_3127	putative Exopolysaccharide transport protein	AAN68735.1	24984751	Q88I74	Q88I74_PSEPK
G18UU-20546-MONOMER	PP_3124	PP_3124	putative short chain fatty acid transporter	AAN68732.1	24984748	Q88I77	Q88I77_PSEPK
G18UU-20476-MONOMER	PP_3074	bhbP	D-beta-hydroxybutyrate permease	AAN68682.1	24984690	Q88IC5	Q88IC5_PSEPK
G18UU-20358-MONOMER	PP_2968	PP_2968	putative nickel/cobalt transporter, high-affinity	AAN68576.1	24984576	Q88IN1	Q88IN1_PSEPK
G18UU-20348-MONOMER	PP_2955	PP_2955	Magnesium/cobalt transporter, CorA family	AAN68563.1	24984562	Q88IP4	Q88IP4_PSEPK
G18UU-20305-MONOMER	PP_2914	proP	osmosensory proline/betaine/H+ permease	AAN68522.1	24984517	Q88IT5	Q88IT5_PSEPK
G18UU-20302-MONOMER	PP_2911	gabP-III	gamma-aminobutyrate permease	AAN68519.1	24984514	Q88IT8	Q88IT8_PSEPK
G18UU-20263-MONOMER	PP_2872	eamA	O-acetylserine/cysteine export transporter	AAN68480.2	1001555790	Q88IX7	Q88IX7_PSEPK
G18UU-20251-MONOMER	PP_2860	PP_2860	putative Nicotinamide mononucleotide transporter	AAN68468.1	24984458	Q88IY9	Q88IY9_PSEPK
G18UU-20229-MONOMER	PP_2837	PP_2837	putative uronate transporter	AAN68445.1	24984433	Q88J12	Q88J12_PSEPK
G18UU-20194-MONOMER	PP_2802	PP_2802	Amino acid permease family protein	AAN68410.1	24984394	Q88J47	Q88J47_PSEPK
G18UU-20189-MONOMER	PP_2797	actP-II	acetate permease	AAN68405.1	24984389	Q88J52	Q88J52_PSEPK
G18UU-20167-MONOMER	PP_2775	PP_2775	putative glycine betaine/L-proline ABC transporter, periplasmic component	AAN68383.2	1001555786	Q88J74	Q88J74_PSEPK
G18UU-20166-MONOMER	PP_2774	opuA	glycine betaine ABC transporter, ATPase/permease fusion protein	AAN68382.1	24984363	Q88J75	Q88J75_PSEPK
G18UU-20161-MONOMER	PP_2769	PP_2769	putative Branched-chain amino acid ABC transporter, permease protein	AAN68377.1	24984358	Q88J80	Q88J80_PSEPK
G18UU-20160-MONOMER	PP_2768	PP_2768	putative Branched-chain amino acid ABC transporter, permease protein	AAN68376.1	24984357	Q88J81	Q88J81_PSEPK
G18UU-20159-MONOMER	PP_2767	PP_2767	putative Branched-chain amino acid ABC transporter, ATP-binding protein	AAN68375.1	24984356	Q88J82	Q88J82_PSEPK
G18UU-20154-MONOMER	PP_2761	PP_2761	putative Ribose ABC transporter, permease protein	AAN68369.1	24984349	Q88J88	Q88J88_PSEPK
G18UU-20153-MONOMER	PP_2760	PP_2760	putative ribose transport permease protein	AAN68368.2	1001555784	Q88J89	Q88J89_PSEPK
G18UU-20151-MONOMER	PP_2758	PP_2758	putative Ribose ABC transporter, periplasmic ribose-binding protein	AAN68366.1	24984346	Q88J91	Q88J91_PSEPK
G18UU-20146-MONOMER	PP_2753	PP_2753	putative Branched-chain amino acid ABC transporter, ATP-binding protein	AAN68361.1	24984341	Q88J96	Q88J96_PSEPK
G18UU-20143-MONOMER	PP_2750	PP_2750	putative Branched-chain amino acid ABC transporter, permease protein	AAN68358.1	24984337	Q88J99	Q88J99_PSEPK
G18UU-20142-MONOMER	PP_2749	PP_2749	putative Branched-chain amino acid ABC transporter, permease protein	AAN68357.1	24984336	Q88JA0	Q88JA0_PSEPK
G18UU-20141-MONOMER	PP_2748	PP_2748	putative Branched-chain amino acid ABC transporter, ATP-binding protein	AAN68356.1	24984335	Q88JA1	Q88JA1_PSEPK
G18UU-20110-MONOMER	PP_2717	arsB-II	arsenite/antimonite transporter	AAN68325.1	24984302	Q88JD2	Q88JD2_PSEPK
G18UU-19989-MONOMER	PP_2594	fatD	Ferric anguibactin transport system permease protein FatD	AAN68202.1	24984166	Q88JQ5	Q88JQ5_PSEPK
G18UU-19988-MONOMER	PP_2593	PP_2593	Ferric siderophore ABC transporter, permease protein	AAN68201.1	24984165	Q88JQ6	Q88JQ6_PSEPK
G18UU-19987-MONOMER	PP_2592	PP_2592	Ferric siderophore ABC transporter, ATP-binding protein	AAN68200.1	24984164	Q88JQ7	Q88JQ7_PSEPK
G18UU-19981-MONOMER	PP_2586	PP_2586	putative amino acid transporter	AAN68194.2	1001555769	Q88JR3	Q88JR3_PSEPK
G18UU-19952-MONOMER	PP_2556	PP_2556	Chromate transporter	AAN68165.1	24984124	Q88JU1	Q88JU1_PSEPK
G18UU-19944-MONOMER	PP_2548	PP_2548	putative Sugar MFS transporter	AAN68157.1	24984115	Q88JU9	Q88JU9_PSEPK
G18UU-19939-MONOMER	PP_2543	gabP-II	gamma-aminobutyrate permease	AAN68152.1	24984110	Q88JV4	Q88JV4_PSEPK
G18UU-19837-MONOMER	PP_2454	rbsB	ribose ABC transporter, periplasmic ribose-binding subunit	AAN68066.1	24984016	Q88K38	Q88K38_PSEPK
G18UU-19823-MONOMER	PP_2443	sstT	Serine/threonine transporter SstT	AAN68055.1	24984004	Q88K49	SSTT_PSEPK
G18UU-19806-MONOMER	PP_2428	sotB	Probable sugar efflux transporter	AAN68040.1	24983987	Q88K63	SOTB_PSEPK
G18UU-19794-MONOMER	PP_2418	PP_2418	putative cobalamin ABC transporter, periplasmic	AAN68030.1	24983976	Q88K73	Q88K73_PSEPK
G18UU-19793-MONOMER	PP_2417	PP_2417	putative Iron ABC transporter, permease protein	AAN68029.1	24983975	Q88K74	Q88K74_PSEPK
G18UU-19792-MONOMER	PP_2416	PP_2416	putative Iron ABC transporter, ATP-binding protein	AAN68028.1	24983974	Q88K75	Q88K75_PSEPK
G18UU-19786-MONOMER	PP_2410	czcA-II	cation efflux system protein	AAN68022.1	24983967	Q88K81	Q88K81_PSEPK
G18UU-19762-MONOMER	PP_2385	azlC	Branched-chain amino acid transport protein AzlC	AAN67998.1	24983941	Q88KA5	Q88KA5_PSEPK
G18UU-19743-MONOMER	PP_2366	fsr-II	fosmidomycin efflux system	AAN67979.1	24983920	Q88KC4	Q88KC4_PSEPK
G18UU-19625-MONOMER	PP_2264	PP_2264	putative Sugar ABC transporter, periplasmic sugar-binding protein	AAN67877.1	24983807	Q88KM6	Q88KM6_PSEPK
G18UU-19623-MONOMER	PP_2263	PP_2263	Sugar ABC transporter, permease protein	AAN67876.1	24983806	Q88KM7	Q88KM7_PSEPK
G18UU-19622-MONOMER	PP_2262	PP_2262	sugar ABC transporter, permease protein	AAN67875.2	1001555717	Q88KM8	Q88KM8_PSEPK
G18UU-19621-MONOMER	PP_2261	PP_2261	Sugar ABC transporter, ATP-binding protein	AAN67874.1	24983804	Q88KM9	Q88KM9_PSEPK
G18UU-19620-MONOMER	PP_2260	PP_2260	putative glycerol-phosphate ABC transporter, ATP-binding protein	AAN67873.1	24983803	Q88KN0	Q88KN0_PSEPK
G18UU-19615-MONOMER	PP_2255	dctA-III	C4-dicarboxylate transport protein	AAN67868.1	24983797	Q88KN5	Q88KN5_PSEPK
G18UU-19594-MONOMER	PP_2239	rhtA	threonine and homoserine exporter	AAN67852.1	24983779	Q88KQ1	Q88KQ1_PSEPK
G18UU-19581-MONOMER	PP_2227	mrpE	putative Multicomponent potassium-proton antiporter, subunit E	AAN67840.1	24983766	Q88KR3	Q88KR3_PSEPK
G18UU-19579-MONOMER	PP_2225	mrpG	putative Multicomponent potassium-proton antiporter, subunit G	AAN67838.1	24983764	Q88KR5	Q88KR5_PSEPK
G18UU-19444-MONOMER	PP_2092	nasA	Nitrate transporter	AAN67706.1	24983618	Q88L43	Q88L43_PSEPK
G18UU-19408-MONOMER	PP_2056	dctA-II	C4-dicarboxylate transport protein	AAN67670.2	1001555702	Q88L79	Q88L79_PSEPK
G18UU-19385-MONOMER	PP_2035	benE-I	benzoate transport protein	AAN67649.1	24983554	Q88LA0	Q88LA0_PSEPK
G18UU-19258-MONOMER	PP_1929	arsB-I	arsenite/antimonite transporter	AAN67546.1	24983440	Q88LK2	Q88LK2_PSEPK
G18UU-19223-MONOMER	PP_1898	PP_1898	MotA/TolQ/ExbB proton channel family protein	AAN67517.1	24983408	Q88LN1	Q88LN1_PSEPK
G18UU-19162-MONOMER	PP_1843	PP_1843	Mg2+/Co2+ transporter	AAN67462.1	24983346	Q88LT4	Q88LT4_PSEPK
G18UU-19139-MONOMER	PP_1820	PP_1820	Benzoate transport protein	AAN67439.1	24983321	Q88LV7	Q88LV7_PSEPK
G18UU-19095-MONOMER	PP_1779	PP_1779	Lipopolysaccharide ABC export system, ATP-binding protein	AAN67399.1	24983276	Q88LZ7	Q88LZ7_PSEPK
G18UU-19094-MONOMER	PP_1778	PP_1778	Lipopolysaccharide ABC export system, permease protein	AAN67398.1	24983275	Q88LZ8	Q88LZ8_PSEPK
G18UU-19058-MONOMER	PP_1743	actP-I	acetate permease	AAN67363.1	24983236	Q88M32	Q88M32_PSEPK
G18UU-19039-MONOMER	PP_1724	PP_1724	putative ABC-type 2-aminoethylphosphonate transporter permease	AAN67345.1	24983216	Q88M50	Q88M50_PSEPK
G18UU-19038-MONOMER	PP_1723	PP_1723	putative 2-aminoethylphosphonate transport system permease	AAN67344.1	24983215	Q88M51	Q88M51_PSEPK
G18UU-19025-MONOMER	PP_1710	PP_1710	MFS transporter, phthalate permease family	AAN67331.1	24983201	Q88M64	Q88M64_PSEPK
G18UU-18791-MONOMER	PP_1486	ydcS	polyamine ABC transporter, periplasmic polyamine-binding protein	AAN67108.1	24982958	Q88MT2	Q88MT2_PSEPK
G18UU-18789-MONOMER	PP_1483	ydcU	polyamine ABC transporter, permease protein	AAN67105.1	24982955	Q88MT5	Q88MT5_PSEPK
